Sequence in Dataset,Name,Label,Type,Level,Width,Decimals,Domain,Value scheme,Missing Scheme,Link to values,
601,C313412A,CL / 313 - International Calls (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
602,C313414S,CL / 313 - International Calls (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
603,C313414T,CL / 313 - International Calls (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
604,C313414F,CL / 313 - International Calls (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
605,C313414A,CL / 313 - International Calls (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
606,C309319S,CL / 309 - Generic Medicines (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
607,C309319T,CL / 309 - Generic Medicines (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
608,C309319F,CL / 309 - Generic Medicines (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
609,C309319A,CL / 309 - Generic Medicines (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
610,C309322S,CL / 309 - Generic Medicines (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
611,C309322T,CL / 309 - Generic Medicines (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
612,C309322F,CL / 309 - Generic Medicines (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
613,C309322A,CL / 309 - Generic Medicines (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
614,E322001S,CL / 322 - Lakeside Fun Run (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
615,E322001T,CL / 322 - Lakeside Fun Run (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
616,E322001F,CL / 322 - Lakeside Fun Run (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
617,E322001A,CL / 322 - Lakeside Fun Run (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
618,E322002S,CL / 322 - Lakeside Fun Run (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
619,E322002T,CL / 322 - Lakeside Fun Run (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
620,E322002F,CL / 322 - Lakeside Fun Run (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
621,E322002A,CL / 322 - Lakeside Fun Run (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
622,E322005S,CL / 322 - Lakeside Fun Run (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
623,E322005T,CL / 322 - Lakeside Fun Run (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
624,E322005F,CL / 322 - Lakeside Fun Run (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
625,E322005A,CL / 322 - Lakeside Fun Run (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
626,E320001S,CL / 320 - Discussion forum (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
627,E320001T,CL / 320 - Discussion forum (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
628,E320001F,CL / 320 - Discussion forum (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
629,E320001A,CL / 320 - Discussion forum (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
630,E320003S,CL / 320 - Discussion forum (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
631,E320003T,CL / 320 - Discussion forum (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
632,E320003F,CL / 320 - Discussion forum (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
633,E320003A,CL / 320 - Discussion forum (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
634,E320004S,CL / 320 - Discussion forum (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
635,E320004T,CL / 320 - Discussion forum (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
636,E320004F,CL / 320 - Discussion forum (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
637,E320004A,CL / 320 - Discussion forum (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
638,C310406S,CL / 310 - Memory Training (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
639,C310406T,CL / 310 - Memory Training (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
640,C310406F,CL / 310 - Memory Training (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
641,C310406A,CL / 310 - Memory Training (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
642,C310407S,CL / 310 - Memory Training (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
643,C310407T,CL / 310 - Memory Training (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
644,C310407F,CL / 310 - Memory Training (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
645,C310407A,CL / 310 - Memory Training (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
646,E322003S,CL / 322 - Lakeside Fun Run (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
647,E322003T,CL / 322 - Lakeside Fun Run (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
648,E322003F,CL / 322 - Lakeside Fun Run (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
649,E322003A,CL / 322 - Lakeside Fun Run (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
650,E323003S,CL / 323 - Library Search (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
651,E323003T,CL / 323 - Library Search (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
652,E323003F,CL / 323 - Library Search (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
653,E323003A,CL / 323 - Library Search (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
654,E323004S,CL / 323 - Library Search (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
655,E323004T,CL / 323 - Library Search (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
656,E323004F,CL / 323 - Library Search (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
657,E323004A,CL / 323 - Library Search (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
658,E322004S,CL / 322 - Lakeside Fun Run (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
659,E322004T,CL / 322 - Lakeside Fun Run (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
660,E322004F,CL / 322 - Lakeside Fun Run (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
661,E322004A,CL / 322 - Lakeside Fun Run (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
662,D306110S,CL / 306 - Canco (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
663,D306110T,CL / 306 - Canco (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
664,D306110F,CL / 306 - Canco (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
665,D306110A,CL / 306 - Canco (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
666,D306111S,CL / 306 - Canco (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
667,D306111T,CL / 306 - Canco (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
668,D306111F,CL / 306 - Canco (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
669,D306111A,CL / 306 - Canco (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
670,C313410S,CL / 313 - International Calls (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
671,C313410T,CL / 313 - International Calls (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
672,C313410F,CL / 313 - International Calls (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
673,C313410A,CL / 313 - International Calls (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
674,C313411S,CL / 313 - International Calls (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
675,C313411T,CL / 313 - International Calls (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
676,C313411F,CL / 313 - International Calls (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
677,C313411A,CL / 313 - International Calls (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
678,C313413S,CL / 313 - International Calls (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
679,C313413T,CL / 313 - International Calls (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
680,C313413F,CL / 313 - International Calls (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
681,C313413A,CL / 313 - International Calls (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
682,E318001S,CL / 318 - Civil Engineering (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
683,E318001T,CL / 318 - Civil Engineering (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
684,E318001F,CL / 318 - Civil Engineering (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
685,E318001A,CL / 318 - Civil Engineering (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
686,E318003S,CL / 318 - Civil Engineering (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
687,E318003T,CL / 318 - Civil Engineering (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
688,E318003F,CL / 318 - Civil Engineering (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
689,E318003A,CL / 318 - Civil Engineering (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
690,E323002S,CL / 323 - Library Search (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
691,E323002T,CL / 323 - Library Search (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
692,E323002F,CL / 323 - Library Search (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
693,E323002A,CL / 323 - Library Search (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
694,E323005S,CL / 323 - Library Search (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
695,E323005T,CL / 323 - Library Search (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
696,E323005F,CL / 323 - Library Search (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
697,E323005A,CL / 323 - Library Search (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
698,E329002S,CL / 329 - Work-related Stress (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
699,E329002T,CL / 329 - Work-related Stress (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
700,E329002F,CL / 329 - Work-related Stress (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
701,E329002A,CL / 329 - Work-related Stress (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
702,E329003S,CL / 329 - Work-related Stress (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
703,E329003T,CL / 329 - Work-related Stress (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
704,E329003F,CL / 329 - Work-related Stress (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
705,E329003A,CL / 329 - Work-related Stress (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
706,C615602S,CN / 615 - Candles (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
707,C615602T,CN / 615 - Candles (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
708,C615602F,CN / 615 - Candles (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
709,C615602A,CN / 615 - Candles (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
710,C615603S,CN / 615 - Candles (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
711,C615603T,CN / 615 - Candles (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
712,C615603F,CN / 615 - Candles (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
713,C615603A,CN / 615 - Candles (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
714,C624619S,CN / 624 - BMI (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
715,C624619T,CN / 624 - BMI (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
716,C624619F,CN / 624 - BMI (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
717,C624619A,CN / 624 - BMI (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
718,C624620S,CN / 624 - BMI (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
719,C624620T,CN / 624 - BMI (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
720,C624620F,CN / 624 - BMI (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
721,C624620A,CN / 624 - BMI (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
722,C604505S,CN / 604 - Gas Gauge (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
723,C604505T,CN / 604 - Gas Gauge (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
724,C604505F,CN / 604 - Gas Gauge (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
725,C604505A,CN / 604 - Gas Gauge (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
726,C605506S,CN / 605 - Photo (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
727,C605506T,CN / 605 - Photo (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
728,C605506F,CN / 605 - Photo (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
729,C605506A,CN / 605 - Photo (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
730,C605507S,CN / 605 - Photo (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
731,C605507T,CN / 605 - Photo (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
732,C605507F,CN / 605 - Photo (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
733,C605507A,CN / 605 - Photo (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
734,C605508S,CN / 605 - Photo (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
735,C605508T,CN / 605 - Photo (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
736,C605508F,CN / 605 - Photo (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
737,C605508A,CN / 605 - Photo (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
738,E650001S,CN / 650 - Urban Population (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
739,E650001T,CN / 650 - Urban Population (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
740,E650001F,CN / 650 - Urban Population (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
741,E650001A,CN / 650 - Urban Population (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
742,C623616S,CN / 623 - Wine (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
743,C623616T,CN / 623 - Wine (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
744,C623616F,CN / 623 - Wine (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
745,C623616A,CN / 623 - Wine (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
746,C623617S,CN / 623 - Wine (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
747,C623617T,CN / 623 - Wine (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
748,C623617F,CN / 623 - Wine (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
749,C623617A,CN / 623 - Wine (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
750,C619609S,CN / 619 - Tiles (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
751,C619609T,CN / 619 - Tiles (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
752,C619609F,CN / 619 - Tiles (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
753,C619609A,CN / 619 - Tiles (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
754,E657001S,CN / 657 - Package (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
755,E657001T,CN / 657 - Package (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
756,E657001F,CN / 657 - Package (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
757,E657001A,CN / 657 - Package (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
758,E646002S,CN / 646 - Rug Production (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
759,E646002T,CN / 646 - Rug Production (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
760,E646002F,CN / 646 - Rug Production (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
761,E646002A,CN / 646 - Rug Production (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
762,C620610S,CN / 620 - Inflation (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
763,C620610T,CN / 620 - Inflation (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
764,C620610F,CN / 620 - Inflation (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
765,C620610A,CN / 620 - Inflation (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
766,C620612S,CN / 620 - Inflation (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
767,C620612T,CN / 620 - Inflation (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
768,C620612F,CN / 620 - Inflation (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
769,C620612A,CN / 620 - Inflation (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
770,E632001S,CN / 632 - Educational level (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
771,E632001T,CN / 632 - Educational level (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
772,E632001F,CN / 632 - Educational level (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
773,E632001A,CN / 632 - Educational level (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
774,E632002S,CN / 632 - Educational level (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
775,E632002T,CN / 632 - Educational level (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
776,E632002F,CN / 632 - Educational level (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
777,E632002A,CN / 632 - Educational level (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
778,C607510S,CN / 607 - TV (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
779,C607510T,CN / 607 - TV (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
780,C607510F,CN / 607 - TV (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
781,C607510A,CN / 607 - TV (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
782,C614601S,CN / 614 - Watch (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
783,C614601T,CN / 614 - Watch (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
784,C614601F,CN / 614 - Watch (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
785,C614601A,CN / 614 - Watch (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
786,C618607S,CN / 618 - Six Pack (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
787,C618607T,CN / 618 - Six Pack (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
788,C618607F,CN / 618 - Six Pack (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
789,C618607A,CN / 618 - Six Pack (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
790,C618608S,CN / 618 - Six Pack (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
791,C618608T,CN / 618 - Six Pack (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
792,C618608F,CN / 618 - Six Pack (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
793,C618608A,CN / 618 - Six Pack (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
794,E635001S,CN / 635 - Parking Map (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
795,E635001T,CN / 635 - Parking Map (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
796,E635001F,CN / 635 - Parking Map (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
797,E635001A,CN / 635 - Parking Map (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
798,C613520S,CN / 613 - Logbook (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
799,C613520T,CN / 613 - Logbook (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
800,C613520F,CN / 613 - Logbook (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
801,C613520A,CN / 613 - Logbook (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
802,C608513S,CN / 608 - Tree (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
803,C608513T,CN / 608 - Tree (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
